date, pm25, pm10, o3, no2, so2, co
2020/2/13, 19, 10, 32, 6, 4, 
2020/2/18, 12, 14, 29, 4, 4, 
2020/2/19, 15, 12, 31, 8, 4, 
2020/2/20, 15, 7, 31, 4, 4, 
2020/2/21, 10, 21, 29, 6, 3, 1
2020/2/22, 24, 21, 30, 4, 1, 2
2020/2/23, 33, 7, 25, 6, 2, 2
2020/2/24, 12, 9, 27, 6, 2, 2
2020/2/25, 13, 9, 27, 10, 3, 2
2020/2/26, 11, 10, 28, 9, 2, 2
2020/2/27, 15, 8, 28, 12, 2, 1
2020/2/28, 24, 8, 24, 13, 2, 
2020/2/29, 17, 12, 32, 5, 3, 
2020/3/1, 18, 11, 31, 8, 3, 
2020/1/2, 44, 11, 18, 12, 4, 3
2020/1/3, 42, 41, 25, 12, 4, 6
2020/1/4, 41, 28, 17, 13, 4, 5
2020/1/5, 37, 10, 25, 6, 4, 2
2020/1/6, 15, 18, 24, 9, 5, 2
2020/1/7, 26, 16, 22, 10, 5, 2
2020/1/8, 24, 29, 24, 12, 5, 3
2020/1/9, 40, 11, 22, 13, 5, 2
2020/1/10, 23, 14, 19, 13, 5, 2
2020/1/11, 24, 9, 26, 4, 5, 1
2020/1/12, 14, 10, 28, 4, 5, 2
2020/1/13, 11, 11, 26, 10, 5, 2
2020/1/14, 13, 12, 28, 8, 6, 1
2020/1/15, 16, 6, 25, 9, 6, 1
2020/1/16, 6, , 24, 9, 6, 1
2020/1/21, 58, 15, 2, 24, 7, 3
2020/1/22, 42, 22, , 16, , 3
2020/1/23, 60, 18, 16, 11, , 3
2020/1/24, 64, 9, 15, 12, 1, 3
2020/1/25, 32, 26, 12, 11, 1, 3
2020/1/26, 65, 12, 22, 8, 1, 3
2020/1/27, 32, 6, 29, 11, 2, 2
2020/1/28, 12, 10, 28, 10, 2, 2
2020/1/29, 18, 18, 27, 8, 2, 2
2020/1/30, 26, 6, 25, 8, 2, 2
2020/1/31, 14, 4, 26, 9, 2, 2
2020/2/1, 13, 25, 31, 3, 3, 2
2019/10/1, 24, 22, 19, 9, 1, 1
2019/10/2, 22, 25, 16, 12, , 1
2019/10/3, 34, 34, 19, 5, 4, 2
2019/10/4, 34, 28, 2, 9, 2, 5
2019/10/5, 35, , 18, 4, 1, 
2019/10/6, 20, , 12, 12, 1, 
2019/10/7, 28, , 21, 5, 1, 3
2019/10/8, 27, , 18, 11, 1, 4
2019/10/9, 23, , 16, 13, 1, 4
2019/10/10, 40, , 20, 6, 6, 5
2019/10/11, 19, , 21, 9, 4, 3
2019/10/12, 20, , 22, 6, 2, 3
2019/10/13, 10, , 12, 15, 2, 2
2019/10/14, 15, 36, 12, 18, 2, 2
2019/10/15, 49, 30, 21, 8, 2, 2
2019/10/16, 37, 27, 15, 16, 1, 1
2019/10/17, 28, 20, 22, 7, 1, 1
2019/10/18, 21, 18, 19, 12, 2, 2
2019/10/19, 26, 14, 25, 12, 8, 1
2019/10/20, 23, 15, 18, 14, 2, 1
2019/10/21, 21, 45, 10, 17, 2, 2
2019/10/22, 54, 29, 5, 25, 2, 3
2019/10/23, 71, 42, 10, 14, 3, 2
2019/10/24, 71, 22, 21, 8, 1, 2
2019/10/25, 23, 32, 23, 7, 1, 1
2019/10/26, 31, 17, 12, 15, 1, 1
2019/10/28, 21, 17, 10, 17, 1, 2
2019/10/29, 28, 13, 19, 14, 1, 1
2019/10/30, 18, 21, 18, 15, 1, 2
2019/10/31, 33, 27, 6, 19, 2, 2
2019/11/5, 21, 18, 13, 15, 1, 1
2019/11/6, 33, 27, 13, 16, , 2
2019/11/7, 50, 15, 18, 18, , 2
2019/11/8, 29, 13, 16, 18, , 1
2019/11/9, 23, 23, 9, 23, , 2
2019/11/10, 39, 11, 21, 11, , 
2019/11/11, 20, 14, 22, 11, , 
2019/11/12, 18, 13, 23, 13, , 1
2019/11/13, 16, 14, 17, 17, , 1
2019/11/14, 16, 7, 15, 20, , 1
