timestamp,minute,hour,day,month,year,CH4,CO,NH3,NO2,PM1_0,PM2_5,PM10_0,eCO2,tVOC,vcc_volt,AQI-1hr-index,AQI-1hr-PM10_0,AQI-1hr-PM2_5,AQI-1hr-NO2, AQI-1hr-CO,AQI-std-index,AQI-std-PM10_0,AQI-std-PM2_5,AQI-std-NO2,AQI-std-CO
1601555755,35,13,1,10,2020,0,0.07,0,0.001898,0,0,0,5679,804,3.379,1.838679245283019,0.3703703703703704,0.8333333333333335,1.838679245283019,0.7954545454545455,7.7519379844961245,2.3255813953488373,7.7519379844961245,1.838679245283019,0.8653846153846155
1601556654,50,13,1,10,2020,0,0.07,0,0.002002,0,0,0,6285,896,3.369,1.918301886792453,0.3703703703703704,0.8333333333333335,1.918301886792453,0.7954545454545455,7.7519379844961245,2.3255813953488373,7.7519379844961245,1.918301886792453,0.8603896103896106
1601557553,5,14,1,10,2020,0,0.07,0,0.00225,1,1,1,5679,804,3.369,1.8981132075471703,0.3703703703703704,0.8333333333333335,1.8981132075471703,0.7954545454545455,7.558139534883721,2.2825150732127475,7.558139534883721,1.8981132075471703,0.8560606060606062
1601558453,20,14,1,10,2020,0,0.06,0,0.002515,0,0,0,5974,849,3.369,1.9547169811320755,0.3703703703703704,0.8333333333333335,1.9547169811320755,0.7954545454545455,7.46124031007752,2.2609819121447026,7.46124031007752,1.9547169811320755,0.8451704545454548
1601559352,35,14,1,10,2020,0,0.06,0,0.002603,0,0,0,6099,868,3.369,2.126037735849056,0.1851851851851852,0.8333333333333335,2.126037735849056,0.75,7.3643410852713185,2.239448751076658,7.3643410852713185,2.126037735849056,0.8355614973262036
1601560251,50,14,1,10,2020,0,0.05,0,0.003838,0,1,1,5799,822,3.369,2.4920754716981133,0.3703703703703704,1.666666666666667,2.4920754716981133,0.7045454545454545,7.3643410852713185,2.239448751076658,7.3643410852713185,2.4920754716981133,0.8207070707070709
1601561149,5,15,1,10,2020,0,0.05,0,0.00414,0,0,0,5456,770,3.379,2.8954716981132074,0.3703703703703704,1.666666666666667,2.8954716981132074,0.6590909090909091,6.9767441860465125,2.0887166236003445,6.9767441860465125,2.8954716981132074,0.807416267942584
1601562046,20,15,1,10,2020,0,0.04,0,0.005403,0,0,0,4916,687,3.379,3.4903773584905657,0.1851851851851852,0.8333333333333335,3.4903773584905657,0.5909090909090908,6.589147286821706,2.0025839793281652,6.589147286821706,3.4903773584905657,0.7897727272727276
1601562942,35,15,1,10,2020,0,0.05,0,0.003575,0,0,0,5207,732,3.369,3.690377358490566,0.1851851851851852,0.8333333333333335,3.690377358490566,0.5681818181818182,6.007751937984496,1.830318690783807,6.007751937984496,3.690377358490566,0.7792207792207796
1601563839,50,15,1,10,2020,0,0.05,0,0.003417,0,1,1,6984,1003,3.369,3.8439622641509428,0.3703703703703704,1.666666666666667,3.8439622641509428,0.5454545454545454,6.007751937984496,1.830318690783807,6.007751937984496,3.8439622641509428,0.7696280991735541
1601564735,5,16,1,10,2020,0,0.04,0,0.005063,0,0,0,5409,763,3.369,4.075094339622641,0.1851851851851852,0.8333333333333335,4.075094339622641,0.5227272727272727,5.62015503875969,1.744186046511628,5.62015503875969,4.075094339622641,0.755928853754941
